ano,idade,sexo,area,total
2005,80 a 100 anos,Mulher,Rural,
2006,0 a 4 anos,Homem,Urbana,
2006,5 a 9 anos,Homem,Urbana,
2006,10 a 14 anos,Homem,Urbana,
2006,15 a 19 anos,Homem,Urbana,
2006,20 a 24 anos,Homem,Urbana,
2006,25 a 29 anos,Homem,Urbana,
2006,30 a 34 anos,Homem,Urbana,
2006,35 a 39 anos,Homem,Urbana,
2006,40 a 44 anos,Homem,Urbana,
2006,45 a 49 anos,Homem,Urbana,
2006,50 a 54 anos,Homem,Urbana,
2006,55 a 59 anos,Homem,Urbana,
2006,60 a 64 anos,Homem,Urbana,
2006,65 a 69 anos,Homem,Urbana,
2006,70 a 74 anos,Homem,Urbana,
2006,75 a 79 anos,Homem,Urbana,
2006,80 a 100 anos,Homem,Urbana,
2006,0 a 4 anos,Mulher,Urbana,
2006,5 a 9 anos,Mulher,Urbana,10
2006,10 a 14 anos,Mulher,Urbana,9
2006,15 a 19 anos,Mulher,Urbana,
2006,20 a 24 anos,Mulher,Urbana,
2006,25 a 29 anos,Mulher,Urbana,
2006,30 a 34 anos,Mulher,Urbana,10
2006,35 a 39 anos,Mulher,Urbana,
2006,40 a 44 anos,Mulher,Urbana,10
2006,45 a 49 anos,Mulher,Urbana,
2006,50 a 54 anos,Mulher,Urbana,
2006,55 a 59 anos,Mulher,Urbana,
2006,60 a 64 anos,Mulher,Urbana,
2006,65 a 69 anos,Mulher,Urbana,
2006,70 a 74 anos,Mulher,Urbana,
2006,75 a 79 anos,Mulher,Urbana,
2006,80 a 100 anos,Mulher,Urbana,
2006,0 a 4 anos,Homem,Rural,
2006,5 a 9 anos,Homem,Rural,10
2006,10 a 14 anos,Homem,Rural,
2006,15 a 19 anos,Homem,Rural,
2006,20 a 24 anos,Homem,Rural,
2006,25 a 29 anos,Homem,Rural,
2006,30 a 34 anos,Homem,Rural,11
2006,35 a 39 anos,Homem,Rural,
2006,40 a 44 anos,Homem,Rural,10
2006,45 a 49 anos,Homem,Rural,
2006,50 a 54 anos,Homem,Rural,
2006,55 a 59 anos,Homem,Rural,11
2006,60 a 64 anos,Homem,Rural,
2006,65 a 69 anos,Homem,Rural,
2006,70 a 74 anos,Homem,Rural,
2006,75 a 79 anos,Homem,Rural,
2006,80 a 100 anos,Homem,Rural,
2006,0 a 4 anos,Mulher,Rural,10
2006,5 a 9 anos,Mulher,Rural,
2006,10 a 14 anos,Mulher,Rural,
2006,15 a 19 anos,Mulher,Rural,
2006,20 a 24 anos,Mulher,Rural,10
2006,25 a 29 anos,Mulher,Rural,11
2006,30 a 34 anos,Mulher,Rural,
2006,35 a 39 anos,Mulher,Rural,28
2006,40 a 44 anos,Mulher,Rural,
2006,45 a 49 anos,Mulher,Rural,
2006,50 a 54 anos,Mulher,Rural,
2006,55 a 59 anos,Mulher,Rural,
2006,60 a 64 anos,Mulher,Rural,10
2006,65 a 69 anos,Mulher,Rural,
2006,70 a 74 anos,Mulher,Rural,
2006,75 a 79 anos,Mulher,Rural,
2006,80 a 100 anos,Mulher,Rural,
2007,0 a 4 anos,Homem,Urbana,10
2007,5 a 9 anos,Homem,Urbana,
2007,10 a 14 anos,Homem,Urbana,
2007,15 a 19 anos,Homem,Urbana,
2007,20 a 24 anos,Homem,Urbana,10
2007,25 a 29 anos,Homem,Urbana,
2007,30 a 34 anos,Homem,Urbana,
2007,35 a 39 anos,Homem,Urbana,
2007,40 a 44 anos,Homem,Urbana,
2007,45 a 49 anos,Homem,Urbana,
2007,50 a 54 anos,Homem,Urbana,
2007,55 a 59 anos,Homem,Urbana,
2007,60 a 64 anos,Homem,Urbana,
2007,65 a 69 anos,Homem,Urbana,
2007,70 a 74 anos,Homem,Urbana,
2007,75 a 79 anos,Homem,Urbana,
2007,80 a 100 anos,Homem,Urbana,
2007,0 a 4 anos,Mulher,Urbana,10
2007,5 a 9 anos,Mulher,Urbana,
2007,10 a 14 anos,Mulher,Urbana,
2007,15 a 19 anos,Mulher,Urbana,
2007,20 a 24 anos,Mulher,Urbana,
2007,25 a 29 anos,Mulher,Urbana,
2007,30 a 34 anos,Mulher,Urbana,
2007,35 a 39 anos,Mulher,Urbana,
2007,40 a 44 anos,Mulher,Urbana,
2007,45 a 49 anos,Mulher,Urbana,
2007,50 a 54 anos,Mulher,Urbana,
2007,55 a 59 anos,Mulher,Urbana,
2007,60 a 64 anos,Mulher,Urbana,
2007,65 a 69 anos,Mulher,Urbana,
2007,70 a 74 anos,Mulher,Urbana,
2007,75 a 79 anos,Mulher,Urbana,
2007,80 a 100 anos,Mulher,Urbana,
2007,0 a 4 anos,Homem,Rural,
2007,5 a 9 anos,Homem,Rural,
2007,10 a 14 anos,Homem,Rural,
2007,15 a 19 anos,Homem,Rural,
2007,20 a 24 anos,Homem,Rural,11
2007,25 a 29 anos,Homem,Rural,
2007,30 a 34 anos,Homem,Rural,
2007,35 a 39 anos,Homem,Rural,
2007,40 a 44 anos,Homem,Rural,
2007,45 a 49 anos,Homem,Rural,13
2007,50 a 54 anos,Homem,Rural,
2007,55 a 59 anos,Homem,Rural,
2007,60 a 64 anos,Homem,Rural,
2007,65 a 69 anos,Homem,Rural,
2007,70 a 74 anos,Homem,Rural,
2007,75 a 79 anos,Homem,Rural,
2007,80 a 100 anos,Homem,Rural,
2007,0 a 4 anos,Mulher,Rural,
2007,5 a 9 anos,Mulher,Rural,
2007,10 a 14 anos,Mulher,Rural,
2007,15 a 19 anos,Mulher,Rural,
2007,20 a 24 anos,Mulher,Rural,
2007,25 a 29 anos,Mulher,Rural,
2007,30 a 34 anos,Mulher,Rural,
2007,35 a 39 anos,Mulher,Rural,
2007,40 a 44 anos,Mulher,Rural,13
2007,45 a 49 anos,Mulher,Rural,
2007,50 a 54 anos,Mulher,Rural,
2007,55 a 59 anos,Mulher,Rural,
2007,60 a 64 anos,Mulher,Rural,
2007,65 a 69 anos,Mulher,Rural,
2007,70 a 74 anos,Mulher,Rural,
2007,75 a 79 anos,Mulher,Rural,
2007,80 a 100 anos,Mulher,Rural,
2008,0 a 4 anos,Homem,Urbana,
2008,5 a 9 anos,Homem,Urbana,
2008,10 a 14 anos,Homem,Urbana,40
2008,15 a 19 anos,Homem,Urbana,
2008,20 a 24 anos,Homem,Urbana,
2008,25 a 29 anos,Homem,Urbana,
2008,30 a 34 anos,Homem,Urbana,
2008,35 a 39 anos,Homem,Urbana,10
2008,40 a 44 anos,Homem,Urbana,
2008,45 a 49 anos,Homem,Urbana,10
2008,50 a 54 anos,Homem,Urbana,
2008,55 a 59 anos,Homem,Urbana,
2008,60 a 64 anos,Homem,Urbana,
2008,65 a 69 anos,Homem,Urbana,
2008,70 a 74 anos,Homem,Urbana,
2008,75 a 79 anos,Homem,Urbana,10
2008,80 a 100 anos,Homem,Urbana,
2008,0 a 4 anos,Mulher,Urbana,
2008,5 a 9 anos,Mulher,Urbana,
2008,10 a 14 anos,Mulher,Urbana,10
2008,15 a 19 anos,Mulher,Urbana,10
2008,20 a 24 anos,Mulher,Urbana,10
2008,25 a 29 anos,Mulher,Urbana,
2008,30 a 34 anos,Mulher,Urbana,
2008,35 a 39 anos,Mulher,Urbana,
2008,40 a 44 anos,Mulher,Urbana,20
2008,45 a 49 anos,Mulher,Urbana,
2008,50 a 54 anos,Mulher,Urbana,
2008,55 a 59 anos,Mulher,Urbana,
2008,60 a 64 anos,Mulher,Urbana,10
2008,65 a 69 anos,Mulher,Urbana,
2008,70 a 74 anos,Mulher,Urbana,
2008,75 a 79 anos,Mulher,Urbana,
2008,80 a 100 anos,Mulher,Urbana,
2008,0 a 4 anos,Homem,Rural,
2008,5 a 9 anos,Homem,Rural,
2008,10 a 14 anos,Homem,Rural,
2008,15 a 19 anos,Homem,Rural,
2008,20 a 24 anos,Homem,Rural,
2008,25 a 29 anos,Homem,Rural,
2008,30 a 34 anos,Homem,Rural,
2008,35 a 39 anos,Homem,Rural,
2008,40 a 44 anos,Homem,Rural,
2008,45 a 49 anos,Homem,Rural,
2008,50 a 54 anos,Homem,Rural,
2008,55 a 59 anos,Homem,Rural,
2008,60 a 64 anos,Homem,Rural,14
2008,65 a 69 anos,Homem,Rural,
2008,70 a 74 anos,Homem,Rural,
2008,75 a 79 anos,Homem,Rural,
2008,80 a 100 anos,Homem,Rural,
2008,0 a 4 anos,Mulher,Rural,
2008,5 a 9 anos,Mulher,Rural,
2008,10 a 14 anos,Mulher,Rural,
2008,15 a 19 anos,Mulher,Rural,
2008,20 a 24 anos,Mulher,Rural,
2008,25 a 29 anos,Mulher,Rural,
2008,30 a 34 anos,Mulher,Rural,
2008,35 a 39 anos,Mulher,Rural,
2008,40 a 44 anos,Mulher,Rural,
2008,45 a 49 anos,Mulher,Rural,
2008,50 a 54 anos,Mulher,Rural,
2008,55 a 59 anos,Mulher,Rural,
2008,60 a 64 anos,Mulher,Rural,
2008,65 a 69 anos,Mulher,Rural,
2008,70 a 74 anos,Mulher,Rural,
2008,75 a 79 anos,Mulher,Rural,
2008,80 a 100 anos,Mulher,Rural,
2009,0 a 4 anos,Homem,Urbana,
2009,5 a 9 anos,Homem,Urbana,
2009,10 a 14 anos,Homem,Urbana,
2009,15 a 19 anos,Homem,Urbana,
2009,20 a 24 anos,Homem,Urbana,
2009,25 a 29 anos,Homem,Urbana,
2009,30 a 34 anos,Homem,Urbana,
2009,35 a 39 anos,Homem,Urbana,
2009,40 a 44 anos,Homem,Urbana,
2009,45 a 49 anos,Homem,Urbana,
2009,50 a 54 anos,Homem,Urbana,
2009,55 a 59 anos,Homem,Urbana,10
2009,60 a 64 anos,Homem,Urbana,
2009,65 a 69 anos,Homem,Urbana,
2009,70 a 74 anos,Homem,Urbana,
2009,75 a 79 anos,Homem,Urbana,
2009,80 a 100 anos,Homem,Urbana,
2009,0 a 4 anos,Mulher,Urbana,
2009,5 a 9 anos,Mulher,Urbana,
2009,10 a 14 anos,Mulher,Urbana,
2009,15 a 19 anos,Mulher,Urbana,
2009,20 a 24 anos,Mulher,Urbana,
2009,25 a 29 anos,Mulher,Urbana,
2009,30 a 34 anos,Mulher,Urbana,
2009,35 a 39 anos,Mulher,Urbana,
2009,40 a 44 anos,Mulher,Urbana,
2009,45 a 49 anos,Mulher,Urbana,
2009,50 a 54 anos,Mulher,Urbana,
2009,55 a 59 anos,Mulher,Urbana,
2009,60 a 64 anos,Mulher,Urbana,10
2009,65 a 69 anos,Mulher,Urbana,
2009,70 a 74 anos,Mulher,Urbana,
2009,75 a 79 anos,Mulher,Urbana,
2009,80 a 100 anos,Mulher,Urbana,
2009,0 a 4 anos,Homem,Rural,
2009,5 a 9 anos,Homem,Rural,
2009,10 a 14 anos,Homem,Rural,
2009,15 a 19 anos,Homem,Rural,
2009,20 a 24 anos,Homem,Rural,
2009,25 a 29 anos,Homem,Rural,
2009,30 a 34 anos,Homem,Rural,11
2009,35 a 39 anos,Homem,Rural,
2009,40 a 44 anos,Homem,Rural,
2009,45 a 49 anos,Homem,Rural,
2009,50 a 54 anos,Homem,Rural,
2009,55 a 59 anos,Homem,Rural,
2009,60 a 64 anos,Homem,Rural,
2009,65 a 69 anos,Homem,Rural,
2009,70 a 74 anos,Homem,Rural,
2009,75 a 79 anos,Homem,Rural,
2009,80 a 100 anos,Homem,Rural,
2009,0 a 4 anos,Mulher,Rural,7
2009,5 a 9 anos,Mulher,Rural,
2009,10 a 14 anos,Mulher,Rural,
2009,15 a 19 anos,Mulher,Rural,
2009,20 a 24 anos,Mulher,Rural,
2009,25 a 29 anos,Mulher,Rural,
2009,30 a 34 anos,Mulher,Rural,
2009,35 a 39 anos,Mulher,Rural,
2009,40 a 44 anos,Mulher,Rural,
2009,45 a 49 anos,Mulher,Rural,
2009,50 a 54 anos,Mulher,Rural,
2009,55 a 59 anos,Mulher,Rural,
2009,60 a 64 anos,Mulher,Rural,
2009,65 a 69 anos,Mulher,Rural,
2009,70 a 74 anos,Mulher,Rural,
2009,75 a 79 anos,Mulher,Rural,
2009,80 a 100 anos,Mulher,Rural,
2010,0 a 4 anos,Homem,Urbana,
2010,5 a 9 anos,Homem,Urbana,
2010,10 a 14 anos,Homem,Urbana,10
2010,15 a 19 anos,Homem,Urbana,
2010,20 a 24 anos,Homem,Urbana,
2010,25 a 29 anos,Homem,Urbana,10
2010,30 a 34 anos,Homem,Urbana,
2010,35 a 39 anos,Homem,Urbana,
2010,40 a 44 anos,Homem,Urbana,
2010,45 a 49 anos,Homem,Urbana,
2010,50 a 54 anos,Homem,Urbana,
2010,55 a 59 anos,Homem,Urbana,10
2010,60 a 64 anos,Homem,Urbana,
2010,65 a 69 anos,Homem,Urbana,
2010,70 a 74 anos,Homem,Urbana,
2010,75 a 79 anos,Homem,Urbana,
2010,80 a 100 anos,Homem,Urbana,
2010,0 a 4 anos,Mulher,Urbana,
2010,5 a 9 anos,Mulher,Urbana,
2010,10 a 14 anos,Mulher,Urbana,20
2010,15 a 19 anos,Mulher,Urbana,10
2010,20 a 24 anos,Mulher,Urbana,
2010,25 a 29 anos,Mulher,Urbana,
2010,30 a 34 anos,Mulher,Urbana,
2010,35 a 39 anos,Mulher,Urbana,
2010,40 a 44 anos,Mulher,Urbana,10
2010,45 a 49 anos,Mulher,Urbana,
2010,50 a 54 anos,Mulher,Urbana,
2010,55 a 59 anos,Mulher,Urbana,
2010,60 a 64 anos,Mulher,Urbana,
2010,65 a 69 anos,Mulher,Urbana,
2010,70 a 74 anos,Mulher,Urbana,
2010,75 a 79 anos,Mulher,Urbana,
2010,80 a 100 anos,Mulher,Urbana,
2010,0 a 4 anos,Homem,Rural,
2010,5 a 9 anos,Homem,Rural,
2010,10 a 14 anos,Homem,Rural,
2010,15 a 19 anos,Homem,Rural,
2010,20 a 24 anos,Homem,Rural,
2010,25 a 29 anos,Homem,Rural,13
2010,30 a 34 anos,Homem,Rural,
2010,35 a 39 anos,Homem,Rural,
2010,40 a 44 anos,Homem,Rural,
2010,45 a 49 anos,Homem,Rural,
2010,50 a 54 anos,Homem,Rural,
2010,55 a 59 anos,Homem,Rural,
2010,60 a 64 anos,Homem,Rural,
2010,65 a 69 anos,Homem,Rural,
2010,70 a 74 anos,Homem,Rural,
2010,75 a 79 anos,Homem,Rural,
2010,80 a 100 anos,Homem,Rural,
2010,0 a 4 anos,Mulher,Rural,
2010,5 a 9 anos,Mulher,Rural,
2010,10 a 14 anos,Mulher,Rural,
2010,15 a 19 anos,Mulher,Rural,
2010,20 a 24 anos,Mulher,Rural,
2010,25 a 29 anos,Mulher,Rural,
2010,30 a 34 anos,Mulher,Rural,
2010,35 a 39 anos,Mulher,Rural,23
2010,40 a 44 anos,Mulher,Rural,
2010,45 a 49 anos,Mulher,Rural,
2010,50 a 54 anos,Mulher,Rural,
2010,55 a 59 anos,Mulher,Rural,
2010,60 a 64 anos,Mulher,Rural,
2010,65 a 69 anos,Mulher,Rural,
2010,70 a 74 anos,Mulher,Rural,
2010,75 a 79 anos,Mulher,Rural,
2010,80 a 100 anos,Mulher,Rural,